"Step","Grouped runs - mean_return","Grouped runs - mean_return__MIN","Grouped runs - mean_return__MAX"
"190","631.4000000000001","507.1","747.2"
"191","630.7","531","748"
"192","630.7111111111112","497","750.7"
"193","625.7777777777778","509.7","748.4"
"194","637.7888888888889","527.3","750"
"195","623.7444444444444","514.3","750"
"196","625.9333333333333","491","762.7"
"197","649.8777777777779","552.7","750"
"198","634.2111111111111","507.7","750"
"199","629.2333333333333","507.7","746.7"
"200","630.7111111111111","511.4","765.3"
"201","632.3444444444444","508.2","778.4"
"202","629.4444444444445","498.7","766.8"
"203","642.7333333333333","527","768.3"
"204","627.6666666666665","500.5","750"
"205","638.7666666666667","535.8","758.4"
"206","634.1555555555556","533.3","752.2"
"207","640.8222222222222","527.6","759.6"
"208","643.8555555555556","546.1","770"
"209","637.3000000000001","513.9","784.8"
"210","633.7222222222222","478.3","771.2"
"211","641.0666666666666","537","773.7"
"212","647.8888888888889","500.3","763.3"
"213","638.7625","482.6","772.3"
"214","647.2875","507.4","764.9"
"215","650.4875000000001","543.6","783.9"
"216","646.9","530.3","779.8"
"217","648.1125000000001","525.1","783.4"
"218","655.1857142857143","547.3","788.2"
"219","646.2571428571428","509.6","786"
"220","641","526.4","762.8"
"221","642.9142857142857","502.7","789.3"
"222","639.842857142857","529.9","788.1"
"223","642","477.5","788.3"
"224","629.5714285714286","422","787.8"
"225","625.5714285714286","446","788.4"
"226","651.3285714285714","528.6","789.2"
"227","651.5","536.2","785"
"228","627.5999999999998","447.1","787.8"
"229","648.9142857142857","473.7","787.4"
"230","663.4428571428571","541","788.2"
"231","651.4","499","789"
"232","653.8142857142857","538.7","788.3"
"233","658.8285714285713","524.6","789.8"
"234","646.9714285714286","491.5","788.4"
"235","654.2285714285715","513.9","778.7"
"236","669.1285714285715","565.4","786.4"
"237","660.6","544","788.4"
"238","664.1857142857143","536.4","788.3"
"239","661.6142857142858","511.8","790.4"
"240","668.8285714285714","513.6","787.4"
"241","661","523.4","788.9"
"242","655.8285714285714","547.9","788.3"
"243","650","518","790.2"
"244","669.2142857142857","532.1","787.6"
"245","673.1285714285714","568.1","788.8"
"246","666.6857142857143","546.9","786.1"
"247","648.4571428571428","478.2","790.2"
