"Step","Grouped runs - mean_return","Grouped runs - mean_return__MIN","Grouped runs - mean_return__MAX"
"182","499.5","477","517"
"183","501.4799999999999","481.7","517"
"184","502.09","482.4","516.9"
"185","504.15","483","517"
"186","503.51000000000005","486","517"
"187","504.01000000000005","483.3","517"
"188","503.15999999999997","485.7","516.9"
"189","503.6000000000001","482.9","517"
"190","501.99000000000007","478.4","516.8"
"191","503.25999999999993","481.4","516.8"
"192","503.18","480.4","516.9"
"193","494.51000000000005","445.9","516.5"
"194","500.8","479.6","516.8"
"195","502.93999999999994","484.7","517"
"196","501.59","473.4","517"
"197","500.43999999999994","478.2","516.9"
"198","503.82000000000005","481.4","516.9"
"199","501.85","472.7","517"
"200","499.11","473.6","517"
"201","506.21000000000004","483","516.9"
"202","506.02","481","516.9"
"203","505.65999999999997","483.8","517"
"204","506.64000000000004","482.7","516.9"
"205","506.53000000000003","479.8","517"
"206","506.21999999999997","480.8","517"
"207","500.75999999999993","444.4","517"
"208","499.78000000000003","431.1","517"
"209","507.53000000000003","484.8","517"
"210","504.23999999999995","442.3","517"
"211","507.71999999999997","487.8","517"
"212","508.69000000000005","489.8","517"
"213","507.75999999999993","486.9","516.9"
"214","508.75","489.1","517"
"215","508.58000000000004","489.2","517"
"216","507.7799999999999","483.8","517"
"217","507.39","486.4","517"
"218","508.65999999999997","489.9","517"
"219","508.4","484.7","517"
"220","507.1500000000001","486.1","517"
"221","506.43","484.2","517"
"222","508.14","486.6","517"
"223","508.7399999999999","486.9","517"
"224","508.85999999999996","488.2","517"
"225","508.05","486","517"
"226","508.7299999999999","490","517"
"227","508.53999999999996","490.1","517"
"228","508.31000000000006","484.6","517"
"229","508.3","486","517"
"230","508.06000000000006","488.6","517"
"231","503.52","475.3","517"
"232","508.7799999999999","487.8","517"
"233","509.28000000000003","489.3","516.9"
"234","508.91999999999996","489.7","517"
"235","505.9199999999999","485.3","517"
"236","507.5300000000001","478","517"
"237","506.27","460.8","517"
"238","508.85","485.2","517"
"239","508.86","482.8","517"
"240","509.1","488.7","517"
"241","509.63","488.8","516.9"
"242","509.2","490.4","517"
"243","509.68999999999994","487.4","517"
"244","509.33000000000004","489.1","517"
"245","504.84000000000003","448.2","517"
"246","506.05","485.3","516.9"
"247","507.21999999999997","478.6","517"
"248","504.56000000000006","472.3","517"
"249","508.82","483","517"
"250","509.23","489.1","517"
"251","508.55999999999995","480.8","517"
"252","507.88","476.8","517"
"253","508.9500000000001","485.4","517"
"254","509.62","486.6","517"
"255","509.71999999999997","489.4","517"
"256","507.41999999999996","480.2","517"
"257","505.93","463","517"
"258","502.44000000000005","474.3","517"
"259","509.21999999999997","489.2","517"
"260","508.35","489.1","517"
"261","508.32","489.7","517"
"262","505.58000000000004","485.3","517"
"263","509.28000000000003","488.8","517"
"264","510.03999999999996","489.7","517"
"265","507.30999999999995","474.6","517"
"266","508.59","487.2","517.3"
"267","509.86","490.9","517"
"268","509.93999999999994","489","517"
"269","509.43","485.2","518.5"
"270","509.55","490.1","517"
"271","508.8500000000001","489.6","517"
"272","508.0999999999999","490.2","517.1"
"273","507.68999999999994","489.4","516.9"
"274","506.94999999999993","485.6","517"
"275","507.41","489.6","517"
"276","505.4","479.8","517"
"277","507.64000000000004","489.6","517"
"278","508.28999999999996","483.4","517"
"279","508.98","489.8","517"
"280","508.32000000000005","490.6","517"
"281","508.73","488.6","517"
"282","506.11","485.3","517"
"283","510.09","489.4","517"
"284","509.23","485.1","517"
"285","509.61","488.5","517"
"286","508.66999999999996","481.8","517"
"287","507.32","483.3","517"
"288","507.91999999999996","489","517"
"289","503.86","455.5","517"
"290","507.28000000000003","487.7","517"
"291","507.73999999999995","487.5","517"
"292","506.5","487.5","517"
"293","508.73","488.3","517"
"294","503.78000000000003","475.3","517"
"295","508.41","487.2","517"
"296","508.2299999999999","486.7","517"
"297","504.12","475.1","517"
"298","508.4","479.2","517"
"299","508.53999999999996","486.3","517"
