"Step","MacIAC_run_0_['instructions_enabled']_20260317_115149 - Instruction_Compliance","MacIAC_run_0_['instructions_enabled']_20260317_115149 - Instruction_Compliance__MIN","MacIAC_run_0_['instructions_enabled']_20260317_115149 - Instruction_Compliance__MAX"
"0","0.8227083333333334","0.8227083333333334","0.8227083333333334"
"1","0.8752083333333335","0.8752083333333335","0.8752083333333335"
"2","0.8804166666666666","0.8804166666666666","0.8804166666666666"
"3","0.73875","0.73875","0.73875"
"4","0.8089583333333333","0.8089583333333333","0.8089583333333333"
"5","0.8097916666666668","0.8097916666666668","0.8097916666666668"
"6","0.9537500000000002","0.9537500000000002","0.9537500000000002"
"7","0.66","0.66","0.66"
"8","0.6635416666666666","0.6635416666666666","0.6635416666666666"
"9","0.7275","0.7275","0.7275"
"10","0.8150000000000001","0.8150000000000001","0.8150000000000001"
"11","0.87","0.87","0.87"
"12","0.7372916666666667","0.7372916666666667","0.7372916666666667"
"13","0.9016666666666665","0.9016666666666665","0.9016666666666665"
"14","0.8137500000000001","0.8137500000000001","0.8137500000000001"
"15","0.7802083333333334","0.7802083333333334","0.7802083333333334"
"16","0.8758333333333334","0.8758333333333334","0.8758333333333334"
"17","0.8666666666666666","0.8666666666666666","0.8666666666666666"
"18","0.7056250000000001","0.7056250000000001","0.7056250000000001"
"19","0.8783333333333333","0.8783333333333333","0.8783333333333333"
"20","0.8797916666666667","0.8797916666666667","0.8797916666666667"
"21","0.9581249999999999","0.9581249999999999","0.9581249999999999"
"22","0.8729166666666668","0.8729166666666668","0.8729166666666668"
"23","0.728125","0.728125","0.728125"
"24","0.6493749999999999","0.6493749999999999","0.6493749999999999"
"25","0.8339583333333334","0.8339583333333334","0.8339583333333334"
"26","0.6304166666666667","0.6304166666666667","0.6304166666666667"
"27","0.8154166666666667","0.8154166666666667","0.8154166666666667"
"28","0.9591666666666668","0.9591666666666668","0.9591666666666668"
"29","0.9641666666666667","0.9641666666666667","0.9641666666666667"
"30","0.7362500000000001","0.7362500000000001","0.7362500000000001"
"31","0.8981249999999998","0.8981249999999998","0.8981249999999998"
"32","0.6335416666666667","0.6335416666666667","0.6335416666666667"
"33","0.8108333333333334","0.8108333333333334","0.8108333333333334"
"34","0.886875","0.886875","0.886875"
"35","0.8166666666666665","0.8166666666666665","0.8166666666666665"
"36","0.8095833333333333","0.8095833333333333","0.8095833333333333"
"37","0.57375","0.57375","0.57375"
"38","0.7422916666666666","0.7422916666666666","0.7422916666666666"
"39","0.7358333333333333","0.7358333333333333","0.7358333333333333"
"40","0.6537499999999999","0.6537499999999999","0.6537499999999999"
"41","0.6552083333333333","0.6552083333333333","0.6552083333333333"
"42","0.8962499999999999","0.8962499999999999","0.8962499999999999"
"43","0.73375","0.73375","0.73375"
"44","0.6966666666666667","0.6966666666666667","0.6966666666666667"
"45","0.8897916666666666","0.8897916666666666","0.8897916666666666"
"46","0.7379166666666667","0.7379166666666667","0.7379166666666667"
"47","0.72625","0.72625","0.72625"
